gene1	gene2	goIds1	goIds2
hsa:54659	hsa:51084	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	[]
hsa:54659	hsa:729020	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	[]
hsa:54659	hsa:57016	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:0044597', 'GO:0044598', 'GO:0110095', 'GO:0016488', 'GO:0001523']
hsa:54659	hsa:54600	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:0052696', 'GO:0051552', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805']
hsa:54659	hsa:729920	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:0035269']
hsa:54659	hsa:7364	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:0008210', 'GO:0008209', 'GO:0052695', 'GO:0006805', 'GO:0006629']
hsa:54659	hsa:54657	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:0052695', 'GO:0070640', 'GO:0042167', 'GO:0006789']
hsa:54659	hsa:6120	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:0005975', 'GO:0006098']
hsa:54659	hsa:9365	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:0030501']
hsa:54659	hsa:7363	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:0052695', 'GO:0008210']
hsa:54659	hsa:54578	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:0052695', 'GO:0006805']
hsa:54659	hsa:7365	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:0006629']
hsa:574537	hsa:54579	['GO:0052695', 'GO:0008206']	[]
hsa:574537	hsa:54576	['GO:0052695', 'GO:0008206']	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0009804', 'GO:0042573', 'GO:0052697', 'GO:0008202', 'GO:0045922', 'GO:0006631']
hsa:574537	hsa:10941	['GO:0052695', 'GO:0008206']	['GO:0052695', 'GO:0008206', 'GO:0007606']
hsa:574537	hsa:51181	['GO:0052695', 'GO:0008206']	['GO:2000379', 'GO:0006006', 'GO:0005997']
hsa:574537	hsa:54659	['GO:0052695', 'GO:0008206']	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']
hsa:574537	hsa:27294	['GO:0052695', 'GO:0008206']	[]
hsa:574537	hsa:54658	['GO:0052695', 'GO:0008206']	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']
hsa:574537	hsa:54575	['GO:0052695', 'GO:0008206']	['GO:0051552', 'GO:0052695', 'GO:0006805']
hsa:574537	hsa:6652	['GO:0052695', 'GO:0008206']	['GO:0051160', 'GO:0046370', 'GO:0006006', 'GO:0051164', 'GO:0006062']
hsa:574537	hsa:55277	['GO:0052695', 'GO:0008206']	['GO:0070050', 'GO:0019321', 'GO:0046835']
hsa:574537	hsa:441282	['GO:0052695', 'GO:0008206']	['GO:0006703']
hsa:574537	hsa:54490	['GO:0052695', 'GO:0008206']	['GO:0052697', 'GO:0008202']
hsa:574537	hsa:231	['GO:0052695', 'GO:0008206']	['GO:0005975', 'GO:0044597', 'GO:0044598', 'GO:0006700', 'GO:0046370', 'GO:0071475', 'GO:0001523']
hsa:574537	hsa:7366	['GO:0052695', 'GO:0008206']	['GO:0052695', 'GO:0008202', 'GO:0008210', 'GO:0006805']
hsa:574537	hsa:7367	['GO:0052695', 'GO:0008206']	['GO:0052695', 'GO:0008202', 'GO:0008210', 'GO:0006805']
hsa:574537	hsa:7358	['GO:0052695', 'GO:0008206']	['GO:0006065', 'GO:0034214', 'GO:0048666']
hsa:574537	hsa:10327	['GO:0052695', 'GO:0008206']	['GO:0044597', 'GO:0019640', 'GO:1901687', 'GO:0044598']
hsa:574537	hsa:2990	['GO:0052695', 'GO:0008206']	['GO:0005975', 'GO:0006027']
hsa:574537	hsa:7360	['GO:0052695', 'GO:0008206']	['GO:0005978', 'GO:0007420', 'GO:0006011']
hsa:574537	hsa:79799	['GO:0052695', 'GO:0008206']	['GO:0052695']
hsa:574537	hsa:10720	['GO:0052695', 'GO:0008206']	['GO:0052697', 'GO:0008210', 'GO:0006805']
hsa:574537	hsa:9942	['GO:0052695', 'GO:0008206']	['GO:0005975', 'GO:0005998', 'GO:0006091', 'GO:0019640', 'GO:0005997']
hsa:574537	hsa:54577	['GO:0052695', 'GO:0008206']	['GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0009804', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805']
hsa:574537	hsa:51084	['GO:0052695', 'GO:0008206']	[]
hsa:574537	hsa:729020	['GO:0052695', 'GO:0008206']	[]
hsa:574537	hsa:57016	['GO:0052695', 'GO:0008206']	['GO:0044597', 'GO:0044598', 'GO:0110095', 'GO:0016488', 'GO:0001523']
hsa:574537	hsa:54600	['GO:0052695', 'GO:0008206']	['GO:0052696', 'GO:0051552', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805']
hsa:574537	hsa:729920	['GO:0052695', 'GO:0008206']	['GO:0035269']
hsa:574537	hsa:7364	['GO:0052695', 'GO:0008206']	['GO:0008210', 'GO:0008209', 'GO:0052695', 'GO:0006805', 'GO:0006629']
hsa:574537	hsa:54657	['GO:0052695', 'GO:0008206']	['GO:0052695', 'GO:0070640', 'GO:0042167', 'GO:0006789']
hsa:574537	hsa:6120	['GO:0052695', 'GO:0008206']	['GO:0005975', 'GO:0006098']
hsa:574537	hsa:9365	['GO:0052695', 'GO:0008206']	['GO:0030501']
hsa:574537	hsa:7363	['GO:0052695', 'GO:0008206']	['GO:0052695', 'GO:0008210']
hsa:574537	hsa:54578	['GO:0052695', 'GO:0008206']	['GO:0052695', 'GO:0006805']
hsa:574537	hsa:7365	['GO:0052695', 'GO:0008206']	['GO:0006629']
hsa:27294	hsa:54579	[]	[]
hsa:27294	hsa:54576	[]	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0009804', 'GO:0042573', 'GO:0052697', 'GO:0008202', 'GO:0045922', 'GO:0006631']
hsa:27294	hsa:10941	[]	['GO:0052695', 'GO:0008206', 'GO:0007606']
hsa:27294	hsa:51181	[]	['GO:2000379', 'GO:0006006', 'GO:0005997']
hsa:27294	hsa:54659	[]	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']
hsa:27294	hsa:574537	[]	['GO:0052695', 'GO:0008206']
hsa:27294	hsa:54658	[]	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']
hsa:27294	hsa:54575	[]	['GO:0051552', 'GO:0052695', 'GO:0006805']
hsa:27294	hsa:6652	[]	['GO:0051160', 'GO:0046370', 'GO:0006006', 'GO:0051164', 'GO:0006062']
hsa:27294	hsa:55277	[]	['GO:0070050', 'GO:0019321', 'GO:0046835']
hsa:27294	hsa:441282	[]	['GO:0006703']
hsa:27294	hsa:54490	[]	['GO:0052697', 'GO:0008202']
hsa:27294	hsa:231	[]	['GO:0005975', 'GO:0044597', 'GO:0044598', 'GO:0006700', 'GO:0046370', 'GO:0071475', 'GO:0001523']
hsa:27294	hsa:7366	[]	['GO:0052695', 'GO:0008202', 'GO:0008210', 'GO:0006805']
hsa:27294	hsa:7367	[]	['GO:0052695', 'GO:0008202', 'GO:0008210', 'GO:0006805']
hsa:27294	hsa:7358	[]	['GO:0006065', 'GO:0034214', 'GO:0048666']
hsa:27294	hsa:10327	[]	['GO:0044597', 'GO:0019640', 'GO:1901687', 'GO:0044598']
hsa:27294	hsa:2990	[]	['GO:0005975', 'GO:0006027']
hsa:27294	hsa:7360	[]	['GO:0005978', 'GO:0007420', 'GO:0006011']
hsa:27294	hsa:79799	[]	['GO:0052695']
hsa:27294	hsa:10720	[]	['GO:0052697', 'GO:0008210', 'GO:0006805']
hsa:27294	hsa:9942	[]	['GO:0005975', 'GO:0005998', 'GO:0006091', 'GO:0019640', 'GO:0005997']
hsa:27294	hsa:54577	[]	['GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0009804', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805']
hsa:27294	hsa:51084	[]	[]
hsa:27294	hsa:729020	[]	[]
hsa:27294	hsa:57016	[]	['GO:0044597', 'GO:0044598', 'GO:0110095', 'GO:0016488', 'GO:0001523']
hsa:27294	hsa:54600	[]	['GO:0052696', 'GO:0051552', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805']
hsa:27294	hsa:729920	[]	['GO:0035269']
hsa:27294	hsa:7364	[]	['GO:0008210', 'GO:0008209', 'GO:0052695', 'GO:0006805', 'GO:0006629']
hsa:27294	hsa:54657	[]	['GO:0052695', 'GO:0070640', 'GO:0042167', 'GO:0006789']
hsa:27294	hsa:6120	[]	['GO:0005975', 'GO:0006098']
hsa:27294	hsa:9365	[]	['GO:0030501']
hsa:27294	hsa:7363	[]	['GO:0052695', 'GO:0008210']
hsa:27294	hsa:54578	[]	['GO:0052695', 'GO:0006805']
hsa:27294	hsa:7365	[]	['GO:0006629']
hsa:54658	hsa:54579	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	[]
hsa:54658	hsa:54576	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0009804', 'GO:0042573', 'GO:0052697', 'GO:0008202', 'GO:0045922', 'GO:0006631']
hsa:54658	hsa:10941	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:0052695', 'GO:0008206', 'GO:0007606']
hsa:54658	hsa:51181	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:2000379', 'GO:0006006', 'GO:0005997']
hsa:54658	hsa:54659	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']
hsa:54658	hsa:574537	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:0052695', 'GO:0008206']
hsa:54658	hsa:27294	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	[]
hsa:54658	hsa:54575	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:0051552', 'GO:0052695', 'GO:0006805']
hsa:54658	hsa:6652	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:0051160', 'GO:0046370', 'GO:0006006', 'GO:0051164', 'GO:0006062']
hsa:54658	hsa:55277	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:0070050', 'GO:0019321', 'GO:0046835']
hsa:54658	hsa:441282	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:0006703']
hsa:54658	hsa:54490	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:0052697', 'GO:0008202']
hsa:54658	hsa:231	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:0005975', 'GO:0044597', 'GO:0044598', 'GO:0006700', 'GO:0046370', 'GO:0071475', 'GO:0001523']
hsa:54658	hsa:7366	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:0052695', 'GO:0008202', 'GO:0008210', 'GO:0006805']
hsa:54658	hsa:7367	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:0052695', 'GO:0008202', 'GO:0008210', 'GO:0006805']
hsa:54658	hsa:7358	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:0006065', 'GO:0034214', 'GO:0048666']
hsa:54658	hsa:10327	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:0044597', 'GO:0019640', 'GO:1901687', 'GO:0044598']
hsa:54658	hsa:2990	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:0005975', 'GO:0006027']
hsa:54658	hsa:7360	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:0005978', 'GO:0007420', 'GO:0006011']
hsa:54658	hsa:79799	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:0052695']
hsa:54658	hsa:10720	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:0052697', 'GO:0008210', 'GO:0006805']
hsa:54658	hsa:9942	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:0005975', 'GO:0005998', 'GO:0006091', 'GO:0019640', 'GO:0005997']
hsa:54658	hsa:54577	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0009804', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805']
hsa:54658	hsa:51084	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	[]
hsa:54658	hsa:729020	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	[]
hsa:54658	hsa:57016	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:0044597', 'GO:0044598', 'GO:0110095', 'GO:0016488', 'GO:0001523']
hsa:54658	hsa:54600	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:0052696', 'GO:0051552', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805']
hsa:54658	hsa:729920	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:0035269']
hsa:54658	hsa:7364	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:0008210', 'GO:0008209', 'GO:0052695', 'GO:0006805', 'GO:0006629']
hsa:54658	hsa:54657	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:0052695', 'GO:0070640', 'GO:0042167', 'GO:0006789']
hsa:54658	hsa:6120	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:0005975', 'GO:0006098']
hsa:54658	hsa:9365	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:0030501']
hsa:54658	hsa:7363	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:0052695', 'GO:0008210']
hsa:54658	hsa:54578	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:0052695', 'GO:0006805']
hsa:54658	hsa:7365	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']	['GO:0006629']
hsa:54575	hsa:54579	['GO:0051552', 'GO:0052695', 'GO:0006805']	[]
hsa:54575	hsa:54576	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0009804', 'GO:0042573', 'GO:0052697', 'GO:0008202', 'GO:0045922', 'GO:0006631']
hsa:54575	hsa:10941	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:0052695', 'GO:0008206', 'GO:0007606']
hsa:54575	hsa:51181	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:2000379', 'GO:0006006', 'GO:0005997']
hsa:54575	hsa:54659	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']
hsa:54575	hsa:574537	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:0052695', 'GO:0008206']
hsa:54575	hsa:27294	['GO:0051552', 'GO:0052695', 'GO:0006805']	[]
hsa:54575	hsa:54658	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']
hsa:54575	hsa:6652	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:0051160', 'GO:0046370', 'GO:0006006', 'GO:0051164', 'GO:0006062']
hsa:54575	hsa:55277	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:0070050', 'GO:0019321', 'GO:0046835']
hsa:54575	hsa:441282	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:0006703']
hsa:54575	hsa:54490	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:0052697', 'GO:0008202']
hsa:54575	hsa:231	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:0005975', 'GO:0044597', 'GO:0044598', 'GO:0006700', 'GO:0046370', 'GO:0071475', 'GO:0001523']
hsa:54575	hsa:7366	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:0052695', 'GO:0008202', 'GO:0008210', 'GO:0006805']
hsa:54575	hsa:7367	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:0052695', 'GO:0008202', 'GO:0008210', 'GO:0006805']
hsa:54575	hsa:7358	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:0006065', 'GO:0034214', 'GO:0048666']
hsa:54575	hsa:10327	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:0044597', 'GO:0019640', 'GO:1901687', 'GO:0044598']
hsa:54575	hsa:2990	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:0005975', 'GO:0006027']
hsa:54575	hsa:7360	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:0005978', 'GO:0007420', 'GO:0006011']
hsa:54575	hsa:79799	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:0052695']
hsa:54575	hsa:10720	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:0052697', 'GO:0008210', 'GO:0006805']
hsa:54575	hsa:9942	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:0005975', 'GO:0005998', 'GO:0006091', 'GO:0019640', 'GO:0005997']
hsa:54575	hsa:54577	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0009804', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805']
hsa:54575	hsa:51084	['GO:0051552', 'GO:0052695', 'GO:0006805']	[]
hsa:54575	hsa:729020	['GO:0051552', 'GO:0052695', 'GO:0006805']	[]
hsa:54575	hsa:57016	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:0044597', 'GO:0044598', 'GO:0110095', 'GO:0016488', 'GO:0001523']
hsa:54575	hsa:54600	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:0052696', 'GO:0051552', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805']
hsa:54575	hsa:729920	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:0035269']
hsa:54575	hsa:7364	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:0008210', 'GO:0008209', 'GO:0052695', 'GO:0006805', 'GO:0006629']
hsa:54575	hsa:54657	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:0052695', 'GO:0070640', 'GO:0042167', 'GO:0006789']
hsa:54575	hsa:6120	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:0005975', 'GO:0006098']
hsa:54575	hsa:9365	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:0030501']
hsa:54575	hsa:7363	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:0052695', 'GO:0008210']
hsa:54575	hsa:54578	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:0052695', 'GO:0006805']
hsa:54575	hsa:7365	['GO:0051552', 'GO:0052695', 'GO:0006805']	['GO:0006629']
hsa:6652	hsa:54579	['GO:0051160', 'GO:0046370', 'GO:0006006', 'GO:0051164', 'GO:0006062']	[]
hsa:6652	hsa:54576	['GO:0051160', 'GO:0046370', 'GO:0006006', 'GO:0051164', 'GO:0006062']	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0009804', 'GO:0042573', 'GO:0052697', 'GO:0008202', 'GO:0045922', 'GO:0006631']
hsa:6652	hsa:10941	['GO:0051160', 'GO:0046370', 'GO:0006006', 'GO:0051164', 'GO:0006062']	['GO:0052695', 'GO:0008206', 'GO:0007606']
hsa:6652	hsa:51181	['GO:0051160', 'GO:0046370', 'GO:0006006', 'GO:0051164', 'GO:0006062']	['GO:2000379', 'GO:0006006', 'GO:0005997']
hsa:6652	hsa:54659	['GO:0051160', 'GO:0046370', 'GO:0006006', 'GO:0051164', 'GO:0006062']	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']
hsa:6652	hsa:574537	['GO:0051160', 'GO:0046370', 'GO:0006006', 'GO:0051164', 'GO:0006062']	['GO:0052695', 'GO:0008206']
hsa:6652	hsa:27294	['GO:0051160', 'GO:0046370', 'GO:0006006', 'GO:0051164', 'GO:0006062']	[]
hsa:6652	hsa:54658	['GO:0051160', 'GO:0046370', 'GO:0006006', 'GO:0051164', 'GO:0006062']	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']
hsa:6652	hsa:54575	['GO:0051160', 'GO:0046370', 'GO:0006006', 'GO:0051164', 'GO:0006062']	['GO:0051552', 'GO:0052695', 'GO:0006805']
hsa:6652	hsa:55277	['GO:0051160', 'GO:0046370', 'GO:0006006', 'GO:0051164', 'GO:0006062']	['GO:0070050', 'GO:0019321', 'GO:0046835']
hsa:6652	hsa:441282	['GO:0051160', 'GO:0046370', 'GO:0006006', 'GO:0051164', 'GO:0006062']	['GO:0006703']
hsa:6652	hsa:54490	['GO:0051160', 'GO:0046370', 'GO:0006006', 'GO:0051164', 'GO:0006062']	['GO:0052697', 'GO:0008202']
hsa:6652	hsa:231	['GO:0051160', 'GO:0046370', 'GO:0006006', 'GO:0051164', 'GO:0006062']	['GO:0005975', 'GO:0044597', 'GO:0044598', 'GO:0006700', 'GO:0046370', 'GO:0071475', 'GO:0001523']
